,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
3559,건강샘온누리약국,0830,1600,,,,,37.678383200000006,127.0530908,노원구
3560,봄햇살약국,0900,1600,,,0830,1500,37.617650299999994,126.921943,은평구
3561,신사온누리약국,1000,1700,,,,,37.51537709999999,127.02011470000001,강남구
3562,싱싱온누리약국,0930,1630,,,,,37.517117999999996,127.019696,강남구
3563,새미래약국,,,,,,,37.542967299999994,126.8429879,강서구
3564,뉴타운메디컬약국,0900,1400,,,,,37.6418798,126.9222445,은평구
3565,단골약국,,,,,,,37.4949352,126.9271145,동작구
3566,다드림약국,0900,1500,,,,,37.4925765,126.89298219999999,구로구
3567,신원약국,,,,,,,37.469680100000005,127.0425041,서초구
3568,방이수약국,0830,1600,,,,,37.5125119,127.11318529999998,송파구
3569,팜그린약국,0900,1600,,,,,37.532864200000006,126.95961170000001,용산구
3570,소명약국,0830,1300,,,,,37.574493100000005,126.9188127,서대문구
3571,신사행복나눔약국,0900,2100,,,,,37.507109299999996,127.0098804,서초구
3572,참사랑약국,0900,1400,,,,,37.5100947,126.9047723,영등포구
3573,모아약국,,,,,,,37.4673446,127.02040079999999,서초구
3574,더사랑약국,0900,1400,,,,,37.6000635,127.01489440000002,성북구
3575,강동엠약국,0900,1300,,,,,37.538274,127.14567,강동구
3576,피나팜맑은약국,0900,1300,,,,,37.4830658,127.12787639999999,송파구
3577,삼성도담약국,,,,,,,37.512573100000004,127.05080079999999,강남구
3578,유정온누리약국,,,0900,1400,0900,1430,37.49747079999999,126.9207916,동작구
3579,신논현약국,,,,,,,37.5051141,127.0255602,강남구
3580,밝은약국,0900,1600,,,,,37.5501783,126.87262079999999,강서구
3581,강동소망약국,,,,,,,37.535343100000006,127.1350956,강동구
3582,구산이화약국,,,,,,,37.614228999999995,126.9091876,은평구
3583,뚝섬스타약국,,,,,,,37.546432,127.0490419,성동구
3584,서현약국,0900,1600,,,,,37.597595500000004,127.01787,성북구
3585,정수메디칼약국,0830,1930,,,,,37.49578109999999,126.8887906,구로구
3586,대지약국,,,,,,,37.6254731,127.0177185,강북구
