,약국명,토요일 시작,토요일 종료,위도,경도,구별
286,스마일온누리약국,1000.0,2200.0,37.5399389,127.0531674,성동구
287,신성림약국,900.0,1500.0,37.5597894,127.0412831,성동구
288,화생약국,900.0,1530.0,37.5547663,127.020345,성동구
289,유명한약국,830.0,2130.0,37.5483456,127.021881,성동구
290,비타민약국,900.0,1300.0,37.562356,127.0355794,성동구
291,다니엘약국,900.0,1600.0,37.5239994,126.9595629,용산구
292,건강한약국,900.0,1500.0,37.5484879,126.9632638,용산구
293,신효창프라자약국,800.0,1600.0,37.5395573,126.96106670000002,용산구
294,사랑플러스약국,900.0,1330.0,37.5413682,126.9732953,용산구
295,다정약국,900.0,1400.0,37.5505381,126.9749622,용산구
296,보광프라자약국,900.0,2130.0,37.527235,126.9996098,용산구
297,푸른약국,900.0,1400.0,37.54953560000001,126.9772925,용산구
298,다나약국,900.0,1500.0,37.5497544,126.9772702,용산구
299,옵티마찬미약국,1000.0,1300.0,37.5324418,127.0056444,용산구
300,보림사약국,900.0,1300.0,37.5343544,126.9748409,용산구
301,가정약국,900.0,1200.0,37.5492865,126.9696739,용산구
302,수명약국,1000.0,1700.0,37.5457359,126.9816695,용산구
303,소명약국,930.0,2200.0,37.5340717,126.9954204,용산구
304,신보영약국,1000.0,1500.0,37.5326037,126.9715237,용산구
305,신용산약국,830.0,1300.0,37.52531219999999,126.96304270000002,용산구
306,신정제약국,900.0,1700.0,37.5252623,126.9645526,용산구
307,대성옵티마약국,900.0,1700.0,37.5393363,126.9891681,용산구
308,알파약국,830.0,1600.0,37.5282487,126.9991845,용산구
309,풍전약국,900.0,1500.0,37.5328154,126.9525533,용산구
310,새무림약국,900.0,1300.0,37.5258693,126.964413,용산구
311,삼정약국,830.0,2200.0,37.5334471,126.9558212,용산구
312,동아약국,900.0,1900.0,37.5388389,126.9887403,용산구
313,성도약국,900.0,1900.0,37.5403801,126.9916499,용산구
314,은정약국,830.0,1900.0,37.5466117,126.9781133,용산구
315,우정약국,900.0,1600.0,37.5380677,126.9676185,용산구
316,임상약국,900.0,2100.0,37.52783779999999,126.9545621,용산구
317,승현약국,900.0,2100.0,37.5511934,126.9631267,용산구
318,신태양약국,900.0,2000.0,37.5493399,126.979872,용산구
319,신명약국,900.0,2000.0,37.5493399,126.979872,용산구
320,경인약국,900.0,2100.0,37.53733370000001,126.959441,용산구
321,동부약국,830.0,2230.0,37.5200093,126.974467,용산구
322,수복약국,730.0,2400.0,37.5392214,126.9575013,용산구
323,소망약국,900.0,1700.0,37.5185208,126.9760327,용산구
324,풍전약국,900.0,1500.0,37.5338365,126.9939277,용산구
325,남선약국,1000.0,1400.0,37.5350006,126.9614535,용산구
326,대한당약국,830.0,1800.0,37.5327895,126.9978498,용산구
327,새서부약국,900.0,1300.0,37.5443581,126.9718771,용산구
328,보현온누리약국,900.0,2100.0,37.5458724,126.9850682,용산구
329,명진약국,900.0,2100.0,37.5465566,126.9817466,용산구
330,메디팜미래로약국,830.0,2200.0,37.5447824,126.9682535,용산구
331,동오약국,900.0,2130.0,37.5263534,127.0009509,용산구
332,실로암약국,930.0,2000.0,37.5334283,126.96217,용산구
333,명진당약국,1000.0,1830.0,37.5542065,126.96878,용산구
334,백경약국,900.0,1800.0,37.5349173,126.9595617,용산구
335,신우성약국,900.0,1800.0,37.54205700000001,126.9720038,용산구
336,구일온누리약국,830.0,1300.0,37.5185268,126.9806796,용산구
337,용약국,800.0,2100.0,37.53310820000001,127.0043174,용산구
338,정화약국,900.0,1500.0,37.5454408,126.9734986,용산구
339,코끼리약국,900.0,1300.0,37.5271282,127.0002912,용산구
340,신세계약국,900.0,1800.0,37.525979,126.9999321,용산구
341,세계약국,900.0,1300.0,37.535578,126.9617453,용산구
342,원효종로엠약국,900.0,1900.0,37.5353038,126.9605882,용산구
343,인원약국,900.0,1900.0,37.545986600000006,126.9849365,용산구
344,구온누리약국,830.0,1600.0,37.5512938,126.9625504,용산구
345,서울중앙약국,700.0,2300.0,37.5490645,126.9704658,용산구
346,정문약국,840.0,1300.0,37.533187100000006,127.004804,용산구
347,국제약국,900.0,2100.0,37.5441666,126.9725451,용산구
348,세브레스약국,830.0,1300.0,37.5332529,127.0041741,용산구
349,한국약국,830.0,1500.0,37.5185268,126.9806796,용산구
350,시온약국,1400.0,2200.0,37.5338278,127.00813329999998,용산구
351,보승약국,900.0,1500.0,37.5312119,126.9990419,용산구
352,종로프라자약국,1000.0,2300.0,37.5288539,126.9640447,용산구
353,메디팜나은약국,1000.0,1900.0,37.53711800000001,126.97288629999998,용산구
354,3층 파란문 약국,1000.0,1530.0,37.5338278,127.00813329999998,용산구
355,가까운우리약국,900.0,1300.0,37.5336693,127.0056881,용산구
356,메디팜최약국,900.0,1600.0,37.5485224,126.9701903,용산구
357,서현약국,900.0,1430.0,37.5209017,126.96933359999998,용산구
358,굿윌정약국,900.0,1800.0,37.5500585,126.97711329999998,용산구
359,희망약국,900.0,1300.0,37.535578,126.9617453,용산구
360,연희온누리약국,900.0,1300.0,37.5447285,126.9716774,용산구
361,진로약국,800.0,1500.0,37.5371206,127.0550961,성동구
362,새희망약국,900.0,1300.0,37.5625432,127.0356732,성동구
363,미소진약국,900.0,1300.0,37.54844050000001,127.0180117,성동구
364,21세기메디칼약국,900.0,1700.0,37.5605018,127.0352728,성동구
365,성모약국,900.0,1500.0,37.53897050000001,127.053647,성동구
366,옵티마뚝도시장약국,900.0,2200.0,37.53745410000001,127.0540995,성동구
367,성은약국,900.0,2100.0,37.54952760000001,127.0471998,성동구
368,텐즈힐약국,900.0,1430.0,37.5663079,127.0369547,성동구
369,옥수대한약국,900.0,1500.0,37.5465935,127.0142975,성동구
370,산호약국,900.0,2000.0,37.5627213,127.0334331,성동구
371,한샘약국,900.0,1500.0,37.5643933,127.0305274,성동구
372,온누리건강약국,900.0,2200.0,37.5292073,127.0826062,광진구
373,청구약국,900.0,1600.0,37.5413156,127.0972239,광진구
374,아나파약국,900.0,1700.0,37.5680939,127.0826253,광진구
375,자양열린약국,900.0,1800.0,37.5333663,127.0810719,광진구
376,우리들약국,900.0,1700.0,37.556859,127.0902274,광진구
377,화양종로약국,900.0,1430.0,37.54965079999999,127.0705803,광진구
378,진주약국,830.0,1630.0,37.5357006,127.0830019,광진구
379,강변그랜드약국,900.0,1800.0,37.54329110000001,127.069075,광진구
380,신성모약국,800.0,1500.0,37.536277,127.0637797,광진구
381,한사랑약국,900.0,2200.0,37.5518092,127.0924029,광진구
382,금성약국,830.0,2200.0,37.5376448,127.0836627,광진구
383,혜성약국,900.0,1300.0,37.5330173,127.0668957,광진구
384,뉴메디칼약국,900.0,2130.0,37.5359613,127.0652252,광진구
385,건대역약국,900.0,2100.0,37.54073229999999,127.0673778,광진구
386,세란약국,930.0,1400.0,37.5539877,127.088284,광진구
387,신세계약국,900.0,1400.0,37.535713,127.0672072,광진구
388,예일약국,900.0,2000.0,37.54004000000001,127.0893896,광진구
389,광진온누리약국,830.0,1400.0,37.5424307,127.0984665,광진구
390,중곡메디칼약국,830.0,2000.0,37.5575556,127.0876678,광진구
391,명약국,800.0,1500.0,37.5423046,127.1004789,광진구
392,일송약국,930.0,1400.0,37.5413346,127.0951087,광진구
393,광진백화점약국,900.0,1300.0,37.55425839999999,127.0896338,광진구
394,미래약국,900.0,1600.0,37.5507515,127.07087,광진구
395,21세기약국,900.0,2100.0,37.5579478,127.08758600000002,광진구
396,자양하나약국,900.0,1800.0,37.5562652,127.091045,광진구
397,온누리선명약국,900.0,2100.0,37.5587779,127.08807620000002,광진구
398,푸른온누리약국,900.0,1500.0,37.5583698,127.0773061,광진구
399,굿모닝약국,840.0,1310.0,37.53692050000001,127.0828693,광진구
400,우리온누리약국,830.0,1600.0,37.54076060000001,127.0958071,광진구
401,무지개약국,900.0,2200.0,37.53588370000001,127.0655509,광진구
402,애플약국,930.0,1600.0,37.5402721,127.0704942,광진구
403,사랑약국,830.0,1330.0,37.53513,127.0836561,광진구
404,선약국,900.0,1400.0,37.5614829,127.0888121,광진구
405,강변그랜드약국,900.0,1800.0,37.5373373,127.09767240000002,광진구
406,초원약국,900.0,1800.0,37.535315,127.09339140000002,광진구
407,온누리강변프라자약국,900.0,2200.0,37.5373373,127.09767240000002,광진구
408,대화약국,900.0,1500.0,37.556089,127.0722071,광진구
409,새서울약국,900.0,1700.0,37.5513382,127.092086,광진구
410,화양백화점약국,830.0,1700.0,37.5483939,127.0689754,광진구
411,군자종로약국,800.0,1700.0,37.5570759,127.0806518,광진구
412,스마일약국,900.0,1600.0,37.5424578,127.1019051,광진구
413,군자역우리약국,900.0,1900.0,37.5325759,127.0679308,광진구
