,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
248,신중앙약국,1300.0,2400.0,37.5078385,126.9608187,동작구
249,우리온누리약국,900.0,1700.0,37.50354229999999,126.9658614,동작구
250,복지약국,1000.0,2100.0,37.4850615,126.9696181,동작구
251,부산약국,900.0,2000.0,37.4978909,126.934309,동작구
252,다인약국,900.0,1300.0,37.520121,126.8901425,영등포구
253,상록수약국,900.0,2000.0,37.5522768,127.1296204,강동구
254,준온누리약국,1000.0,1400.0,37.5511076,127.1275923,강동구
255,튼튼온누리약국,900.0,1730.0,37.5476646,127.1269648,강동구
256,강동한우리약국,930.0,1930.0,37.5503621,127.1279032,강동구
257,선약국,830.0,1630.0,37.5440064,126.83888,강서구
258,개화약국,900.0,2100.0,37.57287879999999,126.8073293,강서구
259,해뜨는약국,900.0,1300.0,37.5045356,126.9494402,동작구
260,화생약국,900.0,2200.0,37.5119091,126.9355869,동작구
261,노량진종로약국,900.0,1400.0,37.5124253,126.9519018,동작구
262,동광약국,800.0,2200.0,37.4882573,126.9818578,동작구
263,가족건강약국,900.0,2000.0,37.5053511,126.9465209,동작구
264,서남온누리약국,1000.0,1300.0,37.5079235,126.8441348,양천구
265,보람약국,900.0,1300.0,37.54722599999999,126.8367128,강서구
266,새싹약국,1000.0,1400.0,37.5484157,126.8367396,강서구
267,고성희약국,900.0,2200.0,37.44844399999999,126.9088147,금천구
268,대우당약국,1900.0,2200.0,37.4505615,126.906579,금천구
269,시흥프라자약국,900.0,2100.0,37.4594614,126.9047562,금천구
270,녹수프라자약국,900.0,2200.0,37.4657159,126.9017801,금천구
271,고원약국,1000.0,2100.0,37.47680220000001,126.8948117,금천구
272,천우약국,800.0,2030.0,37.519621,126.9072575,영등포구
273,금강온누리약국,900.0,2200.0,37.51730720000001,126.9063931,영등포구
274,윤중약국,900.0,2100.0,37.5213559,126.9249795,영등포구
275,21세기신천지약국,900.0,1800.0,37.5192465,126.9071001,영등포구
276,친절약국,830.0,1330.0,37.5196474,126.9020388,영등포구
277,미주약국,900.0,2200.0,37.561687,126.8098122,강서구
278,남문프라자약국,900.0,2100.0,37.4798346,126.8824997,금천구
279,건강플러스약국,1000.0,2230.0,37.4686493,126.8968106,금천구
280,선화온누리약국,1200.0,2030.0,37.5104348,126.9170284,영등포구
281,강서힐약국,900.0,1800.0,37.5730174,126.808655,강서구
