,약국명,일요일 시작,일요일 종료,위도,경도,구별
216,종로프라자약국,830.0,2200.0,37.6520293,127.0467461,도봉구
217,이화태평양약국,900.0,2100.0,37.6391474,127.0382089,도봉구
218,창동종로약국,800.0,1930.0,37.65269960000001,127.0469574,도봉구
219,하나약국,900.0,1500.0,37.6724695,127.0463475,도봉구
220,창동남대문약국,900.0,2200.0,37.6380868,127.0373172,도봉구
221,보화당약국,830.0,2200.0,37.6529434,127.0506023,도봉구
222,태양당약국,1100.0,1800.0,37.6686519,127.0320859,도봉구
223,명산약국,900.0,1300.0,37.65116810000001,127.050345,도봉구
224,후문한일약국,900.0,1200.0,37.6457729,127.03031599999998,도봉구
225,파마트열린약국,1000.0,1600.0,37.6581169,127.0325037,도봉구
226,건강제일녹십자약국,900.0,1800.0,37.6338197,127.04120290000002,도봉구
227,방학약국,900.0,2200.0,37.6696209,127.0432872,도봉구
228,태양약국,1600.0,2200.0,37.6486098,127.0343291,도봉구
229,도봉태평양약국,900.0,2200.0,37.6777094,127.0447308,도봉구
230,도봉태평양약국,900.0,2200.0,37.65356729999999,127.0504176,도봉구
231,오약국,930.0,1500.0,37.66756640000001,127.0454944,도봉구
232,건강제일녹십자약국,900.0,1800.0,37.6583229,127.0358637,도봉구
233,창동이화약국,900.0,1300.0,37.651399,127.0458986,도봉구
234,수락프라자약국,900.0,2230.0,37.67741609999999,127.054858,노원구
235,푸른바다약국,900.0,1500.0,37.6498393,127.06128390000002,노원구
236,인덕약국,1230.0,1800.0,37.6308761,127.06104209999998,노원구
237,당고개약국,900.0,2200.0,37.6708273,127.0799769,노원구
238,오피앙약국,900.0,2100.0,37.6802689,127.05486940000002,노원구
239,나현약국,1000.0,2300.0,37.6563873,127.06961409999998,노원구
240,백조약국,1100.0,1930.0,37.62715120000001,127.0791017,노원구
241,새고운약국,1000.0,1900.0,37.6196709,127.074629,노원구
242,새봄약국,830.0,1600.0,37.6393876,127.0642707,노원구
243,i튼튼약국,900.0,1600.0,37.6244964,127.0729685,노원구
244,화랑온누리약국,1700.0,2230.0,37.6233344,127.0795612,노원구
245,봄약국,900.0,1400.0,37.6530156,127.0613085,노원구
246,수성약국,1000.0,2000.0,37.6589601,127.0614785,노원구
247,자인당약국,1300.0,2100.0,37.6548001,127.0642032,노원구
248,화랑대약국,930.0,1800.0,37.62078169999999,127.0836072,노원구
249,신동아약국,1000.0,2200.0,37.62644,127.0619091,노원구
250,21세기상계약국,1000.0,1900.0,37.666624,127.0576052,노원구
251,새하늘약국,1100.0,2200.0,37.6498393,127.06128390000002,노원구
252,평강상록수약국,1930.0,2000.0,37.66635309999999,127.0569603,노원구
253,건강플러스약국,900.0,1300.0,37.6576842,127.0616951,노원구
254,중계상록수약국,900.0,1700.0,37.6508113,127.0759834,노원구
255,참말로친절한약국,1200.0,2100.0,37.6542772,127.0575947,노원구
256,서부약국,1000.0,2100.0,37.6668466,127.056826,노원구
257,새하늘약국,1100.0,2200.0,37.64669749999999,127.0657247,노원구
258,푸른바다약국,900.0,1500.0,37.6152064,127.0651538,노원구
259,삼호성심약국,830.0,1200.0,37.6244076,127.0655937,노원구
260,유진약국,1000.0,1900.0,37.612751,126.9152122,은평구
261,장수약국,900.0,1900.0,37.5939416,126.9183004,은평구
262,예일태평양약국,900.0,1200.0,37.6111105,126.9168115,은평구
263,은빛약국,900.0,1800.0,37.6234309,126.9194399,은평구
264,참조은약국,1230.0,1800.0,37.5837873,126.90922659999998,은평구
265,예일태평양약국,900.0,1200.0,37.6199895,126.9199824,은평구
266,제중원약국,900.0,2130.0,37.5810703,126.9356344,서대문구
267,모범약국,1400.0,2200.0,37.5772302,126.9232234,서대문구
268,은하약국,1500.0,2000.0,37.58958300000001,126.9427214,서대문구
269,은하약국,1500.0,2000.0,37.5821633,126.9236109,서대문구
270,희망약국,900.0,1800.0,37.577328,126.9242647,서대문구
271,완약국,600.0,2000.0,37.5954357,126.946106,서대문구
272,필온누리약국,1200.0,2100.0,37.5557016,126.9364107,서대문구
273,가족건강약국,900.0,2000.0,37.5071231,126.9622493,동작구
274,성대약국,900.0,2100.0,37.4999898,126.93255220000002,동작구
275,대형약국,1000.0,2000.0,37.55971050000001,126.9583898,서대문구
276,사러가약국,1000.0,2100.0,37.5671033,126.9296369,서대문구
277,김약국,1000.0,2000.0,37.5221403,126.8333183,양천구
278,가까운온누리약국,1300.0,2100.0,37.5173729,126.8653092,양천구
279,새종로약국,1100.0,1900.0,37.5002137,126.9323092,동작구
280,한신약국,800.0,1900.0,37.5850354,126.9474505,서대문구
281,대유약국,900.0,2130.0,37.5818166,126.9358604,서대문구
282,현우약국,930.0,2200.0,37.5555413,126.9362297,서대문구
283,새무지개약국,900.0,1300.0,37.5210264,126.8521472,양천구
284,소망온누리약국,1000.0,2100.0,37.5217128,126.8340954,양천구
285,행복이열리는건강약국,1200.0,1700.0,37.5009476,126.9499507,동작구
286,건강온누리약국,900.0,2000.0,37.5049188,126.9411015,동작구
287,사당프라자약국,900.0,1700.0,37.4832665,126.9732338,동작구
288,사당소화약국,1430.0,1600.0,37.4771402,126.9811313,동작구
289,동현약국,830.0,2100.0,37.5711215,126.9603397,서대문구
290,인왕약국,800.0,2030.0,37.59101679999999,126.943453,서대문구
291,영신약국,1500.0,2200.0,37.5763376,126.9145067,서대문구
292,가정약국,900.0,1300.0,37.5466283,126.8720586,양천구
293,신국경약국,1100.0,1400.0,37.5457623,126.8711007,양천구
294,목동온누리약국,1200.0,1830.0,37.51548270000001,126.86139009999998,양천구
295,연성약국,900.0,1300.0,37.5198132,126.8533943,양천구
296,한울약국,900.0,1300.0,37.5257763,126.8703272,양천구
297,매일여는약국,900.0,2400.0,37.5274468,126.8715522,양천구
298,대흥약국,900.0,2130.0,37.5067403,126.90946540000002,영등포구
299,온누리유진약국,900.0,1700.0,37.5139257,126.9176431,영등포구
300,산들약국,1100.0,1900.0,37.5563679,127.1419695,강동구
301,강서홈약국,1100.0,2100.0,37.5584359,126.8547981,강서구
302,곰달래약국,900.0,1900.0,37.531527,126.8580857,강서구
303,미주약국,1800.0,2200.0,37.574644,126.8189919,강서구
304,종대약국,800.0,2200.0,37.5085758,126.9003381,영등포구
305,동신당약국,900.0,1900.0,37.508426,126.8994445,영등포구
306,태령약국,900.0,2000.0,37.5063336,126.9107957,영등포구
307,수범약국,830.0,2130.0,37.5162749,126.9056469,영등포구
308,수산약국,800.0,2230.0,37.49978820000001,126.9006513,영등포구
309,종로당약국,1000.0,1700.0,37.5635612,126.8547253,강서구
310,메디팜대원약국,1200.0,2100.0,37.6005485,126.9189476,은평구
311,하늘약국,900.0,1300.0,37.6044098,126.9239269,은평구
312,한림약국,1100.0,2100.0,37.5365511,127.134689,강동구
313,영임약국,900.0,1700.0,37.5414627,127.1301387,강동구
314,강동정문약국,1300.0,1700.0,37.5283515,127.1457028,강동구
315,시민당약국,900.0,2100.0,37.53803920000001,127.1398045,강동구
316,애플약국,900.0,1300.0,37.6350842,126.92361499999998,은평구
317,건강한약국,900.0,1300.0,37.6350842,126.92361499999998,은평구
318,오온누리약국,900.0,1500.0,37.60553529999999,126.9221587,은평구
319,래미안온누리약국,1000.0,1700.0,37.5318721,126.9031482,영등포구
320,발산그랜드약국,1000.0,2000.0,37.5594039,126.8389535,강서구
321,까치프라자약국,900.0,2100.0,37.5575588,126.8408886,강서구
322,건강밝은약국,1000.0,1300.0,37.6177686,126.920095,은평구
323,은평자연약국,1400.0,2100.0,37.6208234,126.9172857,은평구
324,불광온누리약국,1030.0,2100.0,37.6108916,126.9299497,은평구
325,정문온누리약국,830.0,2200.0,37.60845870000001,126.93122920000002,은평구
326,홍약국,900.0,1300.0,37.61902120000001,126.9225779,은평구
327,아름다운달과별약국,1200.0,2300.0,37.6190571,126.9201953,은평구
328,메디팜대원약국,1200.0,2100.0,37.6004562,126.9210757,은평구
329,국제공항약국,630.0,1930.0,37.555525,126.8067017,강서구
330,큰덕약국,1000.0,2030.0,37.5519393,126.8354331,강서구
331,마곡하늘약국,1100.0,1900.0,37.577303,126.8129837,강서구
332,엄마약국,1200.0,2000.0,37.4950722,126.8973708,영등포구
333,정안약국,830.0,2030.0,37.50136579999999,126.91702820000002,영등포구
334,천사온누리약국,1200.0,1900.0,37.5063001,126.9614927,동작구
335,신중앙약국,1300.0,2400.0,37.5078385,126.9608187,동작구
336,대림미소약국,930.0,1800.0,37.520070200000006,126.8913616,영등포구
337,상록수약국,900.0,2000.0,37.5522768,127.1296204,강동구
338,튼튼온누리약국,900.0,1730.0,37.5476646,127.1269648,강동구
339,강동한우리약국,930.0,1930.0,37.5503621,127.1279032,강동구
340,행복한온누리약국,900.0,2100.0,37.55342720000001,126.8264511,강서구
341,개화약국,900.0,2100.0,37.57287879999999,126.8073293,강서구
342,스카이약국,1000.0,1800.0,37.5667733,126.8025118,강서구
343,미즈정문약국,900.0,2000.0,37.5525097,126.83598899999998,강서구
344,상도시장약국,1030.0,2200.0,37.5013318,126.937092,동작구
345,상도시장약국,1030.0,2200.0,37.4879346,126.98090659999998,동작구
346,가족건강약국,900.0,2000.0,37.5053511,126.9465209,동작구
347,보건약국,1100.0,1900.0,37.5232097,126.9330608,영등포구
348,세종로약국,900.0,1600.0,37.5046076,126.9218357,영등포구
349,마곡메디칼약국,900.0,1300.0,37.5672077,126.8187284,강서구
350,동방약국,900.0,1300.0,37.5430751,126.8393743,강서구
351,새싹약국,1000.0,1400.0,37.5484157,126.8367396,강서구
352,세종약국,1000.0,1400.0,37.464637,126.9025193,금천구
353,대우당약국,1900.0,2200.0,37.4505615,126.906579,금천구
354,영광약국,900.0,2000.0,37.4758241,126.8974581,금천구
